"date","Temperature","Power.kW.","HDD15"
2019-05-06,5274.21739130435,246.086956521739,0
2019-05-07,5879.47826086957,265.173913043478,0
2019-05-08,4999.58333333333,292.041666666667,0
2019-05-09,4791.95652173913,237.608695652174,0
2019-05-10,5140.66666666667,464.458333333333,0
2019-05-11,6181.41666666667,487.25,0
2019-05-12,5337.33333333333,445.375,0
2019-05-13,5738.79166666667,414.583333333333,0
2019-05-14,6420.5,391,0
2019-05-15,4860.29166666667,310.208333333333,0
2019-05-16,4724.29166666667,343.291666666667,0
2019-05-17,4888.125,419.333333333333,0
2019-05-18,4446.625,395.166666666667,0
2019-05-19,4757.95833333333,375.25,0
2019-05-20,5157.95833333333,366.291666666667,0
2019-05-21,5156.58333333333,342.333333333333,0
2019-05-22,5020.25,382.625,0
2019-05-23,4119.25,361.666666666667,0
